#Read position (bp)	Clipping profile
0.0	10.772590662240948
1.0	2.131382973664438
2.0	2.0159449511617513
3.0	1.937955926690317
4.0	1.8484349885394178
5.0	1.7747258495572695
6.0	1.7155207669554795
7.0	1.6569101128938681
8.0	1.580228831210827
9.0	1.4940366928849282
10.0	1.4218730681072445
11.0	1.3436462722197389
12.0	1.25911853380634
13.0	1.1868360233206203
14.0	1.1336941118286525
15.0	1.083762114453649
16.0	1.028718031633109
17.0	0.9860380624482847
18.0	0.9181543231598871
19.0	0.8796353537563127
20.0	0.8204302711545229
21.0	0.7794147018821985
22.0	0.7293638187991592
23.0	0.6778863072196913
24.0	0.6204645102384372
25.0	0.5749312840607553
26.0	0.5370067431973597
27.0	0.4989633166259285
28.0	0.46377314704735456
29.0	0.4402337768562814
30.0	0.7420845895589816
31.0	0.7470777892964819
32.0	0.6434094518893316
33.0	0.5308246863795022
34.0	0.6397239949402242
35.0	0.7996252722482715
36.0	0.7002368203304071
37.0	0.5307058006714666
38.0	0.5342723719125382
39.0	0.5838477121634346
40.0	0.44617806225806755
41.0	0.3349010395366311
42.0	0.38400083695538456
43.0	0.46674528974824764
44.0	0.3608181238884186
45.0	0.2891300419428778
46.0	0.2538209866562681
47.0	0.2709405286134122
48.0	0.3773432373053841
49.0	0.3173059547473441
50.0	0.24490455855358892
51.0	0.198539132419657
52.0	0.1952103325946568
53.0	0.20400787498930031
54.0	0.22398067393930174
55.0	0.28734675632234197
56.0	0.2327782163339452
57.0	0.2432401586410888
58.0	0.23789030177948128
59.0	0.2349181590785882
60.0	0.2313515878375165
61.0	0.21839304566162276
62.0	0.2313515878375165
63.0	0.23836584461162413
64.0	0.15146039203751083
65.0	0.1983013610035856
66.0	0.22826055942858775
67.0	0.16323007713304738
68.0	0.13053650742322362
69.0	0.1159135653348297
70.0	0.11864793661965133
71.0	0.13897739269375994
72.0	0.13707522136518835
73.0	0.13065539313125932
74.0	0.11329807975804382
75.0	0.09617853780089973
76.0	0.10771045148036484
77.0	0.10129062324643581
78.0	0.15300590624197521
79.0	0.09082868093929221
80.0	0.10247948032679303
81.0	0.09998288045804285
82.0	0.10366833740715026
83.0	0.10735379435625766
84.0	0.11032593705715074
85.0	0.11329807975804382
86.0	0.11543802250268682
87.0	0.11829127949554417
88.0	0.12233339356875873
89.0	0.12744547901429482
90.0	0.1336275358321524
91.0	0.13814519273750986
92.0	0.14575387805179613
93.0	0.15360033478215382
94.0	0.16239787717679732
95.0	0.17464310510447678
96.0	0.18284621895894163
97.0	0.195566989718764
98.0	0.21090324605537222
99.0	0.22505064531162322
100.0	0.22612061668394473
101.0	0.2326593306259095
102.0	0.24038690164823145
103.0	0.2527510152839466
104.0	0.2594086149339471
105.0	0.2712971857375194
106.0	0.28294798512502023
107.0	0.3066062410241291
108.0	0.3274112399303805
109.0	0.34155863918663154
110.0	0.3630769523410974
111.0	0.384238608371456
112.0	0.40516249298574325
113.0	0.4315551201696737
114.0	0.4529545476161038
115.0	0.4741162036464624
116.0	0.4996766308741428
117.0	0.5128729444661081
118.0	0.5373634003214669
119.0	0.5586439420598613
120.0	0.5915752831857566
121.0	0.6165412818732583
122.0	0.6545847084446896
123.0	0.6868027353223705
124.0	0.7164052766232655
125.0	0.7501688177054107
126.0	0.7804846732545201
127.0	0.8116327287598794
128.0	0.8455151555500603
129.0	0.8742854968947052
130.0	0.9104267521375651
131.0	0.9478757501688176
132.0	0.9803315484625701
133.0	1.0088641183911435
134.0	1.0297880030054307
135.0	1.072943515022398
136.0	1.1082525703090076
137.0	1.1462959968804391
138.0	1.187905994692942
139.0	1.2216695357750873
140.0	1.2472299630027677
141.0	1.2707693331938408
142.0	1.293357617720628
143.0	1.313092645254558
144.0	1.3231979304375945
145.0	1.329023330131345
146.0	1.3234357018536658
147.0	1.2730281616465193
148.0	1.1323863690402594
149.0	0.6858516496580846
