#Insert size (bp)	insert size
367.0	3555.0
368.0	3587.0
369.0	3527.0
370.0	3553.0
371.0	3458.0
372.0	3438.0
373.0	3408.0
374.0	3471.0
375.0	3385.0
376.0	3316.0
377.0	3348.0
378.0	3480.0
379.0	3367.0
380.0	3362.0
381.0	3285.0
382.0	3323.0
383.0	3322.0
384.0	3233.0
385.0	3252.0
386.0	3249.0
387.0	3106.0
388.0	3244.0
389.0	3148.0
390.0	3102.0
391.0	3089.0
392.0	3107.0
393.0	3012.0
394.0	3099.0
395.0	3230.0
396.0	3102.0
397.0	2998.0
398.0	2950.0
399.0	2932.0
400.0	2961.0
401.0	3143.0
402.0	2913.0
403.0	2897.0
404.0	2912.0
405.0	2944.0
406.0	2842.0
407.0	2870.0
408.0	2864.0
409.0	2852.0
410.0	2795.0
411.0	2777.0
412.0	2762.0
413.0	2798.0
414.0	2628.0
415.0	2832.0
416.0	2740.0
417.0	2645.0
418.0	2711.0
419.0	2698.0
420.0	2646.0
421.0	2591.0
422.0	2649.0
423.0	2479.0
424.0	2588.0
425.0	2605.0
426.0	2528.0
427.0	2590.0
428.0	2614.0
429.0	2573.0
430.0	2553.0
431.0	2500.0
432.0	2485.0
433.0	2506.0
434.0	2498.0
435.0	2384.0
436.0	2444.0
437.0	2332.0
438.0	2295.0
439.0	2463.0
440.0	2401.0
441.0	2280.0
442.0	2310.0
443.0	2348.0
444.0	2299.0
445.0	2186.0
446.0	2298.0
447.0	2366.0
448.0	2278.0
449.0	2238.0
450.0	2250.0
451.0	2163.0
452.0	2264.0
453.0	2260.0
454.0	2170.0
455.0	2179.0
456.0	2074.0
457.0	2078.0
458.0	2129.0
459.0	2121.0
460.0	2163.0
461.0	2161.0
462.0	2144.0
463.0	2079.0
464.0	2046.0
465.0	2086.0
466.0	2073.0
467.0	2011.0
468.0	1936.0
469.0	1998.0
470.0	2052.0
471.0	1955.0
472.0	1969.0
473.0	1966.0
474.0	2011.0
475.0	1897.0
476.0	1856.0
477.0	1847.0
478.0	1888.0
479.0	1940.0
480.0	1924.0
481.0	1900.0
482.0	1873.0
483.0	1935.0
484.0	1825.0
485.0	1876.0
486.0	1911.0
487.0	1825.0
488.0	1845.0
489.0	1784.0
490.0	1713.0
491.0	1728.0
492.0	1740.0
493.0	1772.0
494.0	1746.0
495.0	1734.0
496.0	1716.0
497.0	1671.0
498.0	1729.0
499.0	1659.0
500.0	1640.0
501.0	1633.0
502.0	1609.0
503.0	1624.0
504.0	1573.0
505.0	1682.0
506.0	1639.0
507.0	1614.0
508.0	1604.0
509.0	1554.0
510.0	1603.0
511.0	1616.0
512.0	1586.0
513.0	1509.0
514.0	1583.0
515.0	1433.0
516.0	1463.0
517.0	1521.0
518.0	1470.0
519.0	1520.0
520.0	1520.0
521.0	1477.0
522.0	1489.0
523.0	1441.0
524.0	1414.0
525.0	1438.0
526.0	1427.0
527.0	1401.0
528.0	1394.0
529.0	1402.0
530.0	1409.0
531.0	1449.0
532.0	1421.0
533.0	1389.0
534.0	1357.0
535.0	1410.0
536.0	1365.0
537.0	1420.0
538.0	1337.0
539.0	1316.0
540.0	1391.0
541.0	1292.0
542.0	1328.0
543.0	1307.0
544.0	1272.0
545.0	1379.0
546.0	1277.0
547.0	1261.0
548.0	1277.0
549.0	1286.0
550.0	1186.0
551.0	1160.0
552.0	1222.0
553.0	1231.0
554.0	1219.0
555.0	1211.0
556.0	1188.0
557.0	1170.0
558.0	1196.0
559.0	1260.0
560.0	1199.0
561.0	1159.0
562.0	1202.0
563.0	1138.0
564.0	1181.0
565.0	1116.0
566.0	1149.0
567.0	1107.0
568.0	1173.0
569.0	1137.0
570.0	1040.0
571.0	1062.0
572.0	1126.0
573.0	1102.0
574.0	1023.0
575.0	1065.0
576.0	1047.0
577.0	1089.0
578.0	1018.0
579.0	1059.0
580.0	1007.0
581.0	1007.0
582.0	1014.0
583.0	1079.0
584.0	1032.0
585.0	1004.0
586.0	992.0
587.0	961.0
588.0	1030.0
589.0	1023.0
590.0	971.0
591.0	994.0
592.0	994.0
593.0	999.0
594.0	947.0
595.0	939.0
596.0	918.0
597.0	929.0
598.0	902.0
599.0	971.0
600.0	912.0
601.0	921.0
602.0	885.0
603.0	880.0
604.0	895.0
605.0	923.0
606.0	895.0
607.0	873.0
608.0	857.0
609.0	895.0
610.0	869.0
611.0	818.0
612.0	792.0
613.0	838.0
614.0	862.0
615.0	857.0
616.0	864.0
617.0	805.0
618.0	776.0
619.0	817.0
620.0	882.0
621.0	755.0
622.0	796.0
623.0	758.0
624.0	818.0
625.0	786.0
626.0	782.0
627.0	729.0
628.0	733.0
629.0	761.0
630.0	739.0
631.0	823.0
632.0	732.0
633.0	759.0
634.0	713.0
635.0	758.0
636.0	703.0
637.0	725.0
638.0	696.0
639.0	708.0
640.0	698.0
641.0	672.0
642.0	685.0
643.0	681.0
644.0	671.0
645.0	688.0
646.0	685.0
647.0	708.0
648.0	749.0
649.0	704.0
650.0	677.0
651.0	666.0
652.0	672.0
653.0	665.0
654.0	655.0
655.0	638.0
656.0	662.0
657.0	638.0
658.0	611.0
