#Position (bp)	insert size
5763.5	260.23197492163007
17289.5	264.87736464448795
28815.5	262.83782589482985
40341.5	262.5877814517399
51867.5	264.4396899224806
63393.5	258.9778011099445
74919.5	264.62799005902457
86445.5	262.9678260869565
97971.5	258.97327394209356
109497.5	258.5230950279494
121023.5	255.54368792284438
132549.5	265.10661764705884
144075.5	259.8306268022462
155601.5	262.89141883519204
167127.5	265.1792059323343
178653.5	263.1697094776949
190179.5	263.40490129339685
201705.5	258.7861945316002
213231.5	257.9678182678656
224757.5	255.4046407185629
236283.5	262.5284669211196
247809.5	260.72535842293905
259335.5	264.98296634815125
266855.5	251.15782608695653
272618.5	259.2046511627907
282387.5	263.60691306299566
293913.5	261.93611647600653
305439.5	259.6725393127548
316965.5	257.8181554524362
328491.5	260.62928348909657
340017.5	265.7565230582524
351543.5	262.8646424517594
363069.5	261.08249084249087
374595.5	259.6132005351568
386121.5	264.43031858674317
397647.5	258.39117826617826
409173.5	256.08123929183324
420699.5	257.51893196560565
432225.5	263.91853658536587
443751.5	258.7476863127131
455277.5	262.53828339846575
466803.5	263.4544312630844
478329.5	263.8221582733813
486243.0	258.9667291471415
492006.0	258.4651287553648
501381.5	260.1706475583864
512907.5	259.5229554276536
524433.5	257.6425080296048
535959.5	262.2116451016636
547485.5	258.34346321648866
559011.5	264.4063260340633
570537.5	252.39514252472367
582063.5	258.7386283622025
593589.5	259.5412457912458
605115.5	260.16638056252475
616641.5	262.61317316776893
628167.5	263.8425727411945
639693.5	262.58041760722347
651219.5	249.89077703165685
662745.5	260.11876288659795
674271.5	259.5026059067219
685797.5	262.177904644345
694797.5	257.38912024986985
700560.5	261.09801233721726
708849.5	261.0974016106975
720375.5	257.0962574044157
731901.5	264.4144373673036
743427.5	257.53443565780015
754953.5	264.18896085609686
766479.5	261.9144008056395
778005.5	263.3406830955469
789531.5	262.06539153179665
801057.5	260.03008821676116
812583.5	262.9953037418573
824109.5	259.4801871618658
835635.5	264.68287692791944
847161.5	259.36559908492995
858687.5	257.9406680339877
870213.5	254.84519230769232
879868.5	257.1337435897436
885631.5	250.53731847348868
893265.5	255.7522072658851
904791.5	264.48931025706287
916317.5	266.7365028203062
927843.5	261.15249582039644
939369.5	262.34403049305297
950895.5	263.99035063876056
962421.5	255.87901457500323
973947.5	258.70240269776593
985473.5	255.45313562780575
996999.5	264.5275635532705
1008525.5	258.2450562233424
1020051.5	260.9115862467495
1031577.5	257.73747794217456
1043103.5	262.4366932161494
1054629.5	260.7500655651718
1061226.0	249.0357833655706
1066989.0	258.05430387059505
1077681.5	256.75551421737975
1089207.5	257.11962480204653
1100733.5	259.8411750062235
1112259.5	256.7840290381125
1123785.5	259.8872740595994
1135311.5	262.01246228518954
1146837.5	259.9146528844811
1158363.5	261.9608656981915
1169889.5	256.0804336188437
1181415.5	265.77686823343015
1192941.5	260.1563433320348
1204467.5	239.97873955960517
1215993.5	257.8423535578561
1227519.5	261.63915547024953
1235754.0	228.20725962870603
1241517.0	261.0598657718121
1250571.5	260.58501818181816
1262097.5	263.0179437439379
1273623.5	259.97884000608923
1285149.5	264.7053884903068
1296675.5	261.631060719081
1308201.5	256.37182597444604
1319727.5	262.86844178351976
1331253.5	262.10706319702604
1342779.5	248.2787916928886
1354305.5	265.63496376811594
1365831.5	261.9677630502373
1377357.5	257.90366001209924
1388883.5	261.33757244043784
1400409.5	259.66196746707976
1409286.5	260.24906313058517
1415049.5	259.7931710047579
1423461.5	253.14495905834187
1434987.5	256.9169829802865
1446513.5	259.4689471470629
1458039.5	258.78688750862665
1469565.5	262.276223312558
1481091.5	260.3346666666667
1492617.5	260.96272661348803
1504143.5	262.75348975348976
1515669.5	256.4016404464166
1527195.5	262.302119205298
1538721.5	260.1783806000822
1550247.5	265.3448717948718
1558223.5	242.41742857142856
1563986.5	265.1206422987534
1573299.5	261.3615038560411
1584825.5	263.520199437484
1596351.5	257.52942894698407
1607877.5	259.7151256798471
1619403.5	256.73739322127307
1630929.5	258.6577322481055
1642455.5	258.0230735098358
1653981.5	259.8574561403509
1665507.5	263.3028697571744
1677033.5	265.0269522144522
1688559.5	261.9958406011002
1694522.5	171.2896551724138
1700285.5	255.78402037243356
1711611.5	271.917590135789
1723137.5	265.3745602926692
1734663.5	259.25639253628196
1746189.5	259.93022924676063
1757715.5	261.8646855563234
1769241.5	259.3629609617723
1780767.5	265.7150664697194
1792293.5	256.8582436561711
1803819.5	265.33203667685467
1815345.5	262.4081842182458
1824447.0	261.0009400705053
1830210.0	263.16816074188563
1838397.5	257.1665768920011
1849923.5	264.63939899833053
1861449.5	268.6719689881032
1872975.5	258.7578277250877
1884501.5	262.1361670579513
1896027.5	264.1158569140417
1907553.5	258.4370712401055
1919079.5	264.0251448130595
1930605.5	261.107589109562
1942131.5	262.83469196846187
1953657.5	260.76079136690646
1959906.5	229.6754716981132
1965669.5	261.3755067803719
1976709.5	263.6858077174624
1988235.5	260.5731411809718
1999761.5	256.669295696693
2011287.5	262.96574677575927
2022813.5	260.5491990846682
2034339.5	265.80817568461435
2045865.5	261.70588235294116
2057391.5	262.32111915921035
2068917.5	261.375152998776
2080443.5	259.35057471264366
2087848.5	252.27093596059115
