#Read position (bp)	Clipping profile
0.0	22.477808231092887
1.0	0.9161363144416254
2.0	0.8742286871546203
3.0	0.8319257048932096
4.0	0.7997042744791445
5.0	0.7687677477318979
6.0	0.751866322576054
7.0	0.7401045120874842
8.0	0.7224123769828288
9.0	0.6952317224924364
10.0	0.6773419099005781
11.0	0.6519403527950114
12.0	0.6226840846889891
13.0	0.6049919495843337
14.0	0.5896719443261125
15.0	0.57148561550345
16.0	0.5556714165272216
17.0	0.5447003159874633
18.0	0.5361013452941391
19.0	0.5255255997287864
20.0	0.5132695955222095
21.0	0.5046706248288855
22.0	0.49913565518720554
23.0	0.4868796509806286
24.0	0.47254803315842175
25.0	0.4636525462342933
26.0	0.45703035041299767
27.0	0.4467511210784493
28.0	0.4357800205386909
29.0	0.4292566634609967
30.0	0.9589334904210431
31.0	1.0952321178474107
32.0	0.6505566103845914
33.0	0.8252046703283127
34.0	1.0710166256650613
35.0	0.97741633547451
36.0	1.0819877262048196
37.0	1.0942437304113963
38.0	1.0286148046600492
39.0	0.8900428861308487
40.0	0.7522616775504597
41.0	0.8920196610028772
42.0	0.6615277109243498
43.0	0.89290920969529
44.0	0.6735860376437239
45.0	0.7079819204170205
46.0	1.0445278423798787
47.0	0.7712387163219336
48.0	0.6906851402867707
49.0	0.6531264177182285
50.0	0.8684960400257377
51.0	0.6554985475646629
52.0	0.5089206908037468
53.0	0.5661483233489729
54.0	0.7830005268105034
55.0	0.601829109789088
56.0	0.7207321183416044
57.0	0.5413397987050148
58.0	0.8104776975317
59.0	0.5693111631442186
60.0	0.7144064387511132
61.0	0.6096373705336007
62.0	0.5206825012923166
63.0	0.5698053568622257
64.0	0.5480608332699118
65.0	0.423524016332114
66.0	0.7692619414499051
67.0	0.33101095232117844
68.0	0.4018783314834015
69.0	0.49093203946828706
70.0	0.4514953807713178
71.0	0.3800349691474862
72.0	0.5199906300871066
73.0	0.3791454204550734
74.0	0.4129482707667613
75.0	0.4118610445871456
76.0	0.40810517233029137
77.0	0.2346431773097873
78.0	0.23938743700265577
79.0	0.33437146960362696
80.0	0.24996318256800845
81.0	0.23741066213062725
82.0	0.2428467930287057
83.0	0.2488759563883928
84.0	0.2559923459276955
85.0	0.2622191867745854
86.0	0.2708181574679095
87.0	0.2832718391616893
88.0	0.2872253889057464
89.0	0.285742807751725
90.0	0.291771971111412
91.0	0.310057138677676
92.0	0.30995829993407453
93.0	0.31618514078096444
94.0	0.3251794664486943
95.0	0.335063340808837
96.0	0.34049947170691547
97.0	0.3814187115579062
98.0	0.3576974130935637
99.0	0.36876735237692354
100.0	0.36471496388926505
101.0	0.36827315865891636
102.0	0.36471496388926505
103.0	0.36995341730014064
104.0	0.3719301921721692
105.0	0.3719301921721692
106.0	0.37163367594136487
107.0	0.37558722568542197
108.0	0.3777616780446533
109.0	0.37815703301905906
110.0	0.3820117440195147
111.0	0.38458155135315186
112.0	0.39061071471283887
113.0	0.38922697230241887
114.0	0.39278516707207023
115.0	0.39584916812371446
116.0	0.3993085241497644
117.0	0.40088994404738726
118.0	0.4007911053037858
119.0	0.40247136394501004
120.0	0.40345975138102436
121.0	0.4017794927398001
122.0	0.4044481388170386
123.0	0.40751213986868284
124.0	0.41037846343312423
125.0	0.4149250456387899
126.0	0.41937278910085407
127.0	0.4230298226141069
128.0	0.42342517758851256
129.0	0.422832145126904
130.0	0.4224367901524983
131.0	0.42490775874253395
132.0	0.4250065974861354
133.0	0.4297508571790039
134.0	0.4351869880770824
135.0	0.43933821530834233
136.0	0.4509023483097092
137.0	0.4586117703106205
138.0	0.470768935773596
139.0	0.4748213242612545
140.0	0.4799609389285287
141.0	0.4856935860574114
142.0	0.4902401682630771
143.0	0.4906355232374828
144.0	0.4860889410318172
145.0	0.4790713902361159
146.0	0.47551319546646453
147.0	0.45416402684855633
148.0	0.39337819953367875
149.0	0.23088730505293312
