#Position (bp)	Coverage
5803.0	158.59741490736752
17408.0	197.21783713916415
29013.0	169.30564411891427
40618.0	170.61835415769065
52223.0	176.29952606635072
63828.0	176.37009909521757
75433.0	157.46307626023267
87038.0	166.44971994829814
98643.0	170.0132701421801
110248.0	178.47893149504523
121853.0	170.290478242137
133458.0	167.0579060749677
145063.0	189.60654890133563
156668.0	183.10090478242137
168273.0	172.4292977165015
179878.0	165.5760448082723
191483.0	188.96467040068936
203088.0	172.8016372253339
214693.0	160.03817320120638
226298.0	200.25368375700128
237903.0	166.08151658767773
249508.0	156.05445928479105
261113.0	187.0605773373546
272718.0	202.89763033175356
284323.0	163.55415769065058
295928.0	163.39129685480395
307533.0	180.20896165445927
319138.0	178.0281775096941
330743.0	164.25756139595003
342348.0	154.21904351572599
353953.0	153.75846617837138
365558.0	153.9011632916846
377163.0	174.3436449806118
388768.0	183.24825506247308
400373.0	164.64722102542007
411978.0	164.50305902628176
423583.0	175.16622145626886
435188.0	170.00818612666953
446793.0	160.16716932356744
458398.0	175.67634640241275
470003.0	164.85506247307194
481608.0	169.20189573459714
493213.0	169.64756570443774
504818.0	156.4824644549763
516423.0	153.16760017233952
528028.0	154.7217578629901
539633.0	150.82197328737612
551238.0	158.33761309780266
562843.0	183.2685911245153
574448.0	123.26523050409307
586053.0	165.19500215424387
597658.0	148.97888841016803
609263.0	174.36191296854804
620868.0	149.19965532098234
632473.0	157.53821628608358
644078.0	162.71719086600604
655683.0	155.09306333476948
667288.0	179.68168892718657
678893.0	142.36846186988367
690498.0	120.06635071090048
702103.0	163.00922016372255
713708.0	171.3956915122792
725313.0	140.73468332615252
736918.0	166.54442050840154
748523.0	155.08022404136148
760128.0	169.38810857389058
771733.0	166.18793623438174
783338.0	175.37302886686774
794943.0	167.33123653597588
806548.0	148.06979750107712
818153.0	152.83705299439896
829758.0	154.9021973287376
841363.0	145.1283067643257
852968.0	172.51426109435587
864573.0	156.13003015941405
876178.0	157.5473502800517
887783.0	147.36716932356742
899388.0	155.13787160706593
910993.0	153.15760448082722
922598.0	157.61818181818182
934203.0	162.9106419646704
945808.0	168.172253339078
957413.0	165.80456699698405
969018.0	160.1835415769065
980623.0	163.5365790607497
992228.0	142.33494183541578
1003833.0	157.12890995260665
1015438.0	156.53364928909951
1027043.0	152.83481258078413
1038648.0	155.40387763894873
1050253.0	170.46126669538992
1061858.0	154.9191727703576
1073463.0	140.44653166738476
1085068.0	155.88841016803102
1096673.0	165.4291253769927
1108278.0	160.03696682464454
1119883.0	146.4163722533391
1131488.0	155.96294700560102
1143093.0	152.18836708315382
1154698.0	156.3052994398966
1166303.0	151.07789745799224
1177908.0	146.18716070659198
1189513.0	157.97251184834124
1201118.0	14.353209823352003
1212723.0	90.62895303748384
1224328.0	160.03688065489013
1235933.0	147.6238690219733
1247538.0	146.56742783283067
1259143.0	152.94243860404998
1270748.0	150.9217578629901
1282353.0	153.19233089185695
1293958.0	161.99750107712194
1305563.0	152.37337354588539
1317168.0	144.47944851357173
1328773.0	149.3382162860836
1340378.0	153.45247738043946
1351983.0	151.70021542438604
1363588.0	144.76510124946145
1375193.0	151.1073675140026
1386798.0	157.4085308056872
1398403.0	158.25618267987937
1410008.0	112.23515725980181
1421613.0	0.0
1433218.0	59.76828953037484
1444823.0	159.72356742783282
1456428.0	152.862731581215
1468033.0	207.79595002154244
1479638.0	168.38311072813443
1491243.0	157.6803102111159
1502848.0	151.81516587677726
1514453.0	161.3941404566997
1526058.0	164.27083153813012
1537663.0	154.82404136148213
1549268.0	157.21421800947869
1560873.0	157.2962516156829
1572478.0	160.42223179663938
1584083.0	167.3165015079707
1595688.0	173.1988797931926
1607293.0	152.72684187850064
1618898.0	157.6717794054287
1630503.0	149.1100387763895
1642108.0	148.46126669538992
1653713.0	171.0121499353727
1665318.0	41.5228780697975
1676923.0	159.07376130978028
1688528.0	159.20517018526496
1700133.0	160.73649289099527
1711738.0	157.23326152520465
1723343.0	155.6750538560965
1734948.0	150.74269711331323
1746553.0	170.3564842740198
1758158.0	156.55019388194745
1769763.0	165.48996122361052
1781368.0	152.64825506247308
1792973.0	152.72313657906074
1804578.0	170.397931925894
1816183.0	155.07229642395518
1827788.0	132.97423524342955
1839393.0	155.2892718655752
1850998.0	165.68909952606634
1862603.0	171.54192158552348
1874208.0	153.3974149073675
1885813.0	153.05402843601897
1897418.0	164.85816458423093
1909023.0	173.12175786299008
1920628.0	164.23214131839725
1932233.0	165.02093925032312
1943838.0	164.77638948728995
1955443.0	164.42688496337786
1967048.0	151.60120637656183
1978653.0	156.4952175786299
1990258.0	155.95329599310642
2001863.0	160.80198190435158
2013468.0	148.29754416199913
2025073.0	165.06747091770788
2036678.0	157.58793623438174
2048283.0	174.99009047824214
2059888.0	165.4921154674709
2071493.0	195.72477380439466
2083098.0	178.45980180956485
2094703.0	165.0281775096941
2106308.0	171.32425678586816
2117913.0	170.18888410168032
2129518.0	166.77544161999137
2141123.0	163.5340801378716
2152728.0	143.65015079707024
2164333.0	166.0053425247738
2175938.0	87.79060749676863
2187543.0	171.83731150366222
2199148.0	167.96777251184835
2210753.0	162.51357173632056
2222358.0	166.07858681602758
2233963.0	162.43584661783714
2245568.0	175.1414907367514
2257173.0	157.03015941404567
2268778.0	162.7627746660922
2280383.0	155.88436018957347
2291988.0	179.11322705730288
2303593.0	153.34872899612236
2315198.0	170.985092632486
2326803.0	179.56182679879362
2338408.0	161.2861697544162
2350013.0	175.07246876346403
2361618.0	160.60542869452823
2373223.0	147.81775096940973
2384828.0	158.9644118914261
2396433.0	166.93537268418785
2408038.0	166.75312365359758
2419643.0	174.82567858681603
2431248.0	174.98853942266265
2442853.0	152.8022404136148
2454458.0	164.56467040068935
2466063.0	172.4717794054287
2477668.0	177.22576475657044
2489273.0	175.3058164584231
2500878.0	158.21671693235675
2512483.0	172.6361912968548
2524088.0	175.07893149504523
2535693.0	162.9259801809565
2547298.0	161.73588970271436
2558903.0	78.40189573459716
2570508.0	130.84825506247307
2582113.0	163.21619991383025
2593718.0	168.36837570012926
2605323.0	169.65333907798362
2616928.0	157.08436018957346
2628533.0	164.77363205514865
2640138.0	174.87488151658766
2651743.0	155.58448944420508
2663348.0	167.20568720379146
2674953.0	151.9005601034037
2686558.0	173.32098233520034
2698163.0	169.9196897888841
2709768.0	176.88806548901334
2721373.0	185.54760878931495
2732978.0	196.19491598448946
2744583.0	177.7117621714778
2756188.0	180.4723825937096
2767793.0	201.60827229642396
2779398.0	168.71210685049547
2791003.0	150.92218871176217
2802608.0	171.10866006031884
2814213.0	177.31469194312797
2825818.0	170.32210254200777
2837423.0	155.0808272296424
2849028.0	164.61507970702283
2860633.0	171.38043946574751
2872238.0	179.23817320120637
2883843.0	185.95088323998277
2895448.0	165.7802671262387
2907053.0	170.59017664799654
2918658.0	182.45825075398534
2930263.0	181.82145626884963
2941868.0	179.94011202068074
2953473.0	171.7350280051702
2965078.0	171.98147350280053
2976683.0	185.6410168031021
2988288.0	171.13459715639812
2999893.0	180.24989228780697
3011498.0	188.2489444205084
3023103.0	174.1409737182249
3034708.0	172.78328306764325
3046313.0	178.16501507970702
3057918.0	183.03869021973287
3069523.0	188.15010771219303
3081128.0	180.96406721240845
3092733.0	169.57690650581645
3104338.0	176.54166307626022
3115943.0	173.7654459284791
3127548.0	176.0569582076691
3139153.0	178.03860404997846
3150758.0	169.3196897888841
3162363.0	169.4244722102542
3173968.0	187.86471348556657
3185573.0	193.3387333046101
3197178.0	177.2399827660491
3208783.0	169.23283067643257
3220388.0	171.78069797501078
3231993.0	154.2149935372684
3243598.0	187.69065058164585
3255203.0	167.19974149073676
3266808.0	162.9499353726842
3278413.0	168.27522619560534
3290018.0	176.61292546316244
3301623.0	179.08125807841446
3313228.0	190.3595863851788
3324833.0	192.648858250754
3336438.0	175.8
3348043.0	180.9669969840586
3359648.0	172.92227488151659
3371253.0	181.8750538560965
3382858.0	176.42464454976303
3394463.0	184.11202068074107
3406068.0	189.65282205945712
3417673.0	181.3601895734597
3429278.0	214.80766910814305
3440883.0	198.84532529082293
3452488.0	194.69711331322705
3464093.0	187.55303748384318
3475698.0	185.614907367514
3487303.0	174.0175786299009
3498908.0	187.5962947005601
3510513.0	182.82085308056872
3522118.0	170.8998707453684
3533723.0	173.5770788453253
3545328.0	188.00292977165014
3556933.0	165.35234812580785
3568538.0	181.58380008616976
3580143.0	178.21025420077552
